id	userid	hits	z	trials	created_at	updated_at
259	852c40a4c1	1	-0.79	10	2023-05-23 23:54:05	2023-05-23 23:54:05
260	852c40a4c1	1	-0.79	10	2023-05-23 23:56:27	2023-05-23 23:56:27
261	5db1799938	3	0.79	10	2023-05-24 02:57:00	2023-05-24 02:57:00
262	53b90b6e5f	1	-0.79	10	2023-05-24 04:51:23	2023-05-24 04:51:23
263	53b90b6e5f	2	0.00	10	2023-05-24 04:52:15	2023-05-24 04:52:15
264	e62733e006	1	-0.79	10	2023-05-24 12:22:38	2023-05-24 12:22:38
265	e62733e006	2	0.00	10	2023-05-24 12:23:38	2023-05-24 12:23:38
266	3036d30a05	2	0.00	10	2023-05-24 12:49:35	2023-05-24 12:49:35
267	fff8c30e58	6	3.16	10	2023-05-24 13:58:19	2023-05-24 13:58:19
268	37b1202ffb	1	-0.79	10	2023-05-24 14:46:41	2023-05-24 14:46:41
269	51f5819377	3	0.79	10	2023-05-24 17:02:43	2023-05-24 17:02:43
270	51f5819377	2	0.00	10	2023-05-24 17:03:21	2023-05-24 17:03:21
271	e562fe06a4	2	0.00	10	2023-05-24 19:36:29	2023-05-24 19:36:29
272	76b0cf44d8	2	0.00	10	2023-05-24 23:13:21	2023-05-24 23:13:21
273	8c0e8dcf0f	1	-0.79	10	2023-05-24 23:28:50	2023-05-24 23:28:50
274	76b0cf44d8	3	0.79	10	2023-05-24 23:38:08	2023-05-24 23:38:08
275	76b0cf44d8	5	2.37	10	2023-05-24 23:40:37	2023-05-24 23:40:37
276	03bbe154e3	2	0.00	10	2023-05-25 01:25:19	2023-05-25 01:25:19
277	03bbe154e3	3	0.79	10	2023-05-25 01:54:42	2023-05-25 01:54:42
278	bda1283c07	2	0.00	10	2023-05-25 13:19:59	2023-05-25 13:19:59
279	bda1283c07	3	0.79	10	2023-05-25 13:20:43	2023-05-25 13:20:43
280	fff8c30e58	5	2.37	10	2023-05-25 14:28:28	2023-05-25 14:28:28
281	52946e67cb	1	-0.79	10	2023-05-26 06:29:12	2023-05-26 06:29:12
282	52946e67cb	1	-0.79	10	2023-05-26 06:29:36	2023-05-26 06:29:36
283	52946e67cb	4	1.58	10	2023-05-26 06:30:02	2023-05-26 06:30:02
284	52946e67cb	2	0.00	10	2023-05-26 06:30:29	2023-05-26 06:30:29
285	52946e67cb	3	0.79	10	2023-05-26 06:30:52	2023-05-26 06:30:52
286	52946e67cb	2	0.00	10	2023-05-26 06:31:14	2023-05-26 06:31:14
287	52946e67cb	1	-0.79	10	2023-05-26 06:31:38	2023-05-26 06:31:38
288	52946e67cb	1	-0.79	10	2023-05-26 06:32:01	2023-05-26 06:32:01
289	52946e67cb	3	0.60	11	2023-05-26 06:32:53	2023-05-26 06:32:53
290	52946e67cb	1	-0.79	10	2023-05-26 06:33:14	2023-05-26 06:33:14
291	52946e67cb	1	2.00	1	2023-05-26 06:33:15	2023-05-26 06:33:15
292	52946e67cb	3	0.60	11	2023-05-26 06:33:49	2023-05-26 06:33:49
293	52946e67cb	2	0.00	10	2023-05-26 06:34:11	2023-05-26 06:34:11
294	52946e67cb	2	0.00	10	2023-05-26 06:34:28	2023-05-26 06:34:28
295	52946e67cb	2	-0.15	11	2023-05-26 06:34:45	2023-05-26 06:34:45
296	52946e67cb	0	-1.58	10	2023-05-26 06:35:01	2023-05-26 06:35:01
297	52946e67cb	2	0.00	10	2023-05-26 06:35:20	2023-05-26 06:35:20
298	bdccdd5b23	2	0.00	10	2023-05-26 17:14:21	2023-05-26 17:14:21
299	bdccdd5b23	0	-1.58	10	2023-05-26 17:15:24	2023-05-26 17:15:24
300	bdccdd5b23	0	-1.58	10	2023-05-26 17:16:11	2023-05-26 17:16:11
