id	userid	hits	z	trials	created_at	updated_at
295	82d9256209	22	-0.85	10	2023-06-09 21:47:30	2023-06-09 21:47:30
296	82d9256209	24	-0.28	10	2023-06-09 21:56:34	2023-06-09 21:56:34
297	82d9256209	22	-0.85	10	2023-06-09 22:01:25	2023-06-09 22:01:25
298	82d9256209	24	-0.28	10	2023-06-09 22:11:34	2023-06-09 22:11:34
299	82d9256209	18	-1.98	10	2023-06-09 22:12:53	2023-06-09 22:12:53
300	20c6cf9b66	20	-1.41	10	2023-06-10 00:24:18	2023-06-10 00:24:18
301	20c6cf9b66	23	-0.57	10	2023-06-10 00:30:31	2023-06-10 00:30:31
302	59b5d6e957	20	-1.41	10	2023-06-10 11:21:41	2023-06-10 11:21:41
303	59b5d6e957	11	-3.96	10	2023-06-10 11:23:09	2023-06-10 11:23:09
304	59b5d6e957	22	-0.85	10	2023-06-10 11:24:23	2023-06-10 11:24:23
305	59b5d6e957	22	-0.85	10	2023-06-10 11:25:32	2023-06-10 11:25:32
306	59b5d6e957	19	-1.70	10	2023-06-10 11:26:49	2023-06-10 11:26:49
307	59b5d6e957	23	-0.57	10	2023-06-10 11:28:13	2023-06-10 11:28:13
308	59b5d6e957	25	0.00	10	2023-06-10 12:15:43	2023-06-10 12:15:43
309	fff8c30e58	22	-0.85	10	2023-06-10 14:31:12	2023-06-10 14:31:12
