id	userid	z	trials	created_at	updated_at
317	73edb425b7	3.01	20	2023-06-04 18:19:37	2023-06-04 18:19:37
318	6f96fabae3	1.38	20	2023-06-04 18:29:28	2023-06-04 18:29:28
319	07d6265486	-0.50	20	2023-06-04 21:03:43	2023-06-04 21:03:43
320	ff55040f59	0.86	20	2023-06-05 00:35:26	2023-06-05 00:35:26
321	ff55040f59	1.77	20	2023-06-05 00:37:52	2023-06-05 00:37:52
322	07d6265486	-0.06	20	2023-06-05 02:23:41	2023-06-05 02:23:41
323	55c781238a	1.59	20	2023-06-05 03:11:55	2023-06-05 03:11:55
324	e62733e006	-0.71	20	2023-06-05 03:56:09	2023-06-05 03:56:09
325	e62733e006	-2.32	20	2023-06-05 03:58:14	2023-06-05 03:58:14
326	65fc3500be	-0.53	20	2023-06-05 10:57:00	2023-06-05 10:57:00
327	fff8c30e58	1.89	20	2023-06-05 14:00:26	2023-06-05 14:00:26
328	07d6265486	0.80	20	2023-06-05 15:38:13	2023-06-05 15:38:13
329	07d6265486	1.63	20	2023-06-05 16:56:58	2023-06-05 16:56:58
330	72a7d4d47b	0.91	20	2023-06-05 17:13:51	2023-06-05 17:13:51
331	6c49d1f204	2.35	20	2023-06-06 06:57:10	2023-06-06 06:57:10
