id	userid	odds	hits	z	trials	created_at	updated_at
196	fff8c30e58	0.074316130151885	2	-1.12	20	2023-05-23 22:20:17	2023-05-23 22:20:17
197	fff8c30e58	0.6990877008995	4	0.00	20	2023-05-23 22:20:39	2023-05-23 22:20:39
198	fff8c30e58	0.011663688215736	1	-1.68	20	2023-05-23 22:21:04	2023-05-23 22:21:04
199	fff8c30e58	0.1	7	1.68	20	2023-05-23 22:21:22	2023-05-23 22:21:22
200	fff8c30e58	0.25958023968945	3	-0.56	20	2023-05-23 22:24:58	2023-05-23 22:24:58
201	fff8c30e58	1.7001358506854	5	0.56	20	2023-05-23 22:25:49	2023-05-23 22:25:49
202	852c40a4c1	0.1	8	2.24	20	2023-05-23 23:09:27	2023-05-23 23:09:27
203	65fc3500be	-0.0000000000000022204460492503	0	-2.24	20	2023-05-24 00:44:41	2023-05-24 00:44:41
204	55c781238a	1.7001358506854	5	0.56	20	2023-05-24 01:10:08	2023-05-24 01:10:08
205	9e7a2c2a0d	0.25958023968945	3	-0.56	20	2023-05-24 02:15:57	2023-05-24 02:15:57
206	3328dc4258	1.7001358506854	5	0.56	20	2023-05-24 02:16:38	2023-05-24 02:16:38
207	5db1799938	0.6990877008995	4	0.00	20	2023-05-24 02:51:07	2023-05-24 02:51:07
208	53b90b6e5f	0.6990877008995	4	0.00	20	2023-05-24 04:22:42	2023-05-24 04:22:42
209	53b90b6e5f	1.7001358506854	5	0.56	20	2023-05-24 04:26:13	2023-05-24 04:26:13
210	e62733e006	0.25958023968945	3	-0.56	20	2023-05-24 11:57:39	2023-05-24 11:57:39
211	e62733e006	1.7001358506854	5	0.56	20	2023-05-24 12:01:31	2023-05-24 12:01:31
212	e62733e006	0.6990877008995	4	0.00	20	2023-05-24 12:09:50	2023-05-24 12:09:50
213	3036d30a05	0.6990877008995	4	0.00	20	2023-05-24 12:38:41	2023-05-24 12:38:41
214	852c40a4c1	0.25958023968945	3	-0.56	20	2023-05-24 13:33:34	2023-05-24 13:33:34
215	fff8c30e58	1.7001358506854	5	0.56	20	2023-05-24 14:05:58	2023-05-24 14:05:58
216	fff8c30e58	0.25958023968945	3	-0.56	20	2023-05-24 14:06:52	2023-05-24 14:06:52
217	fff8c30e58	0.25958023968945	3	-0.56	20	2023-05-24 14:07:23	2023-05-24 14:07:23
218	fff8c30e58	1.7001358506854	5	0.56	20	2023-05-24 14:07:51	2023-05-24 14:07:51
219	fff8c30e58	0.074316130151885	2	-1.12	20	2023-05-24 14:08:57	2023-05-24 14:08:57
220	fff8c30e58	0.074316130151885	2	-1.12	20	2023-05-24 14:09:24	2023-05-24 14:09:24
221	37b1202ffb	0.6990877008995	4	0.00	20	2023-05-24 14:42:11	2023-05-24 14:42:11
222	51f5819377	0.25958023968945	3	-0.56	20	2023-05-24 17:01:39	2023-05-24 17:01:39
223	036851a55f	0.6990877008995	4	0.00	20	2023-05-24 18:55:01	2023-05-24 18:55:01
224	e562fe06a4	1.7001358506854	5	0.56	20	2023-05-24 19:23:07	2023-05-24 19:23:07
225	51f5819377	0.1	7	1.68	20	2023-05-24 21:40:57	2023-05-24 21:40:57
226	76b0cf44d8	0.074316130151886	2	-1.12	20	2023-05-24 22:23:05	2023-05-24 22:23:05
227	76b0cf44d8	0.25958023968945	3	-0.56	20	2023-05-24 22:58:06	2023-05-24 22:58:06
228	03bbe154e3	0.1	8	2.24	20	2023-05-25 01:23:09	2023-05-25 01:23:09
229	03bbe154e3	0.6990877008995	4	0.00	20	2023-05-25 01:52:30	2023-05-25 01:52:30
230	8c0e8dcf0f	0.6990877008995	4	0.00	20	2023-05-25 03:32:15	2023-05-25 03:32:15
231	03bbe154e3	0.25958023968945	3	-0.56	20	2023-05-25 09:50:15	2023-05-25 09:50:15
232	bda1283c07	0.6990877008995	4	0.00	20	2023-05-25 13:40:09	2023-05-25 13:40:09
233	fff8c30e58	0.1	9	2.80	20	2023-05-25 14:29:34	2023-05-25 14:29:34
234	77c18aa0ae	0.6990877008995	4	0.00	20	2023-05-25 16:04:10	2023-05-25 16:04:10
235	77c18aa0ae	1.7001358506854	5	0.56	22	2023-05-25 16:16:23	2023-05-25 16:16:23
236	77c18aa0ae	0.6990877008995	4	0.00	20	2023-05-25 16:23:44	2023-05-25 16:23:44
237	76b0cf44d8	0.25958023968945	3	-0.56	20	2023-05-25 22:28:12	2023-05-25 22:28:12
238	ff55040f59	0.1	7	1.68	20	2023-05-26 12:52:50	2023-05-26 12:52:50
