id	userid	steps	z	trials	created_at	updated_at
289	bdccdd5b23	42	-0.85	10	2023-05-26 17:20:57	2023-05-26 17:20:57
290	bdccdd5b23	30	0.00	10	2023-05-26 17:21:39	2023-05-26 17:21:39
291	bdccdd5b23	28	0.14	10	2023-05-26 17:22:12	2023-05-26 17:22:12
292	bdccdd5b23	31	-0.07	10	2023-05-26 17:22:47	2023-05-26 17:22:47
293	bdccdd5b23	28	0.14	10	2023-05-26 17:23:17	2023-05-26 17:23:17
294	bdccdd5b23	37	-0.49	10	2023-05-26 17:23:51	2023-05-26 17:23:51
295	bdccdd5b23	19	0.78	10	2023-05-26 17:24:27	2023-05-26 17:24:27
296	d40dfacc09	26	0.28	10	2023-05-26 20:33:53	2023-05-26 20:33:53
297	d40dfacc09	26	0.28	10	2023-05-26 20:34:42	2023-05-26 20:34:42
298	d40dfacc09	31	-0.07	10	2023-05-26 20:35:42	2023-05-26 20:35:42
299	d40dfacc09	37	-0.49	10	2023-05-26 20:37:30	2023-05-26 20:37:30
300	fff8c30e58	23	0.49	10	2023-05-26 20:46:36	2023-05-26 20:46:36
301	ff92c2f177	26	0.28	10	2023-05-27 14:26:49	2023-05-27 14:26:49
302	77c18aa0ae	31	-0.07	10	2023-05-27 16:55:03	2023-05-27 16:55:03
303	77c18aa0ae	37	-0.49	10	2023-05-27 16:56:09	2023-05-27 16:56:09
304	77c18aa0ae	28	0.14	10	2023-05-27 16:56:55	2023-05-27 16:56:55
305	77c18aa0ae	26	0.28	10	2023-05-27 16:57:38	2023-05-27 16:57:38
306	77c18aa0ae	23	0.49	10	2023-05-27 16:58:12	2023-05-27 16:58:12
307	77c18aa0ae	28	0.14	10	2023-05-27 16:58:58	2023-05-27 16:58:58
308	77c18aa0ae	33	-0.21	10	2023-05-27 16:59:42	2023-05-27 16:59:42
309	77c18aa0ae	25	0.35	10	2023-05-27 17:00:17	2023-05-27 17:00:17
310	77c18aa0ae	32	-0.14	10	2023-05-27 17:00:58	2023-05-27 17:00:58
